Year,Month,meanmaxtemp,meanmintemp,precip
2013,4,24,14.9,199.8
2013,5,21.3,11.9,110.2
2013,6,18.1,10.8,316.4
2013,7,19.5,9.8,32.6
2013,8,21.1,10.5,14.8
2013,9,24.4,13.8,35.8
2013,10,25.7,15,42.2
2013,11,24,16.4,192.8
2013,12,26.4,18.6,31
2014,1,26.9,19.8,17.4
2014,2,26.2,19.9,58.2
2014,3,26.4,19.2,102.6
2014,4,23.8,15.9,117.6
2014,5,23.2,13.1,27.4
2014,6,19.6,11,68
